"","Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Exclusive ASVs","Nutrient","dp"
"57","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Total_folate_highlow","0.01 0.25"
"58","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","c1255b42b2cf2b23d789ce7de0a446a0","shared_all_asv","Total_folate_highlow","0.01 0.25"
"59","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","shared_all_asv","Total_folate_highlow","0.01 0.25"
"60","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_Alistipes","0bc4e35da130d9cb9fc1090c80011153","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"61","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"62","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"43c6b4b7d67b71ca2cba59db1b71e4ef","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"63","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"64","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA,"1941bdf9450a85f4069a80e526137af7","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"65","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"eb1cb381c314ecbbf46265b2e2351ee8","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"66","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"4830fa6c03eb9f7fd7a60aa04b40ace5","pd_high_asv","Vitamin_C_highlow","0.01 0.25"
"67","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_massiliensis","ab589cea8df6e4d57063760719baaacc","pd_low_asv","Vitamin_C_highlow","0.01 0.25"
"68","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"69","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","c1255b42b2cf2b23d789ce7de0a446a0","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"70","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,"6f0b4058c92e83c77533a218739a0e38","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"71","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","shared_all_asv","Vitamin_C_highlow","0.01 0.25"
"72","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_Alistipes","0bc4e35da130d9cb9fc1090c80011153","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"73","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_organism","3d846e34d0ebbaa6096f5b1e5e8afa03","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"74","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,"7b194ff3fbeebf0030a0c3d2c2f62478","pd_high_asv","Vitamin_B2_highlow","0.01 0.25"
"75","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism","d4dcc0bc5f5a6e517ddf472187dbc2e7","pd_high_asv","Vitamin_B2_highlow","0.01 0.25"
"76","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"77","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"78","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA,"1941bdf9450a85f4069a80e526137af7","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"79","d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__uncultured_bacterium","fbbeae3dceada6928b2cdc472f5d9901","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"80","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"eb1cb381c314ecbbf46265b2e2351ee8","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"81","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_stercoris","77c22963de6714a2d8e7340514fcbcf8","pd_low_asv","Vitamin_B2_highlow","0.01 0.25"
"82","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_massiliensis","ab589cea8df6e4d57063760719baaacc","pd_low_asv","Vitamin_B2_highlow","0.01 0.25"
"83","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"84","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","c1255b42b2cf2b23d789ce7de0a446a0","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"85","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352","s__uncultured_bacterium","6be7c1afdd690efab2c28453f0d304da","pd_high_asv","Vitamin_B2_highlow","0.01 0.25"
"86","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,"6f0b4058c92e83c77533a218739a0e38","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"87","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","shared_all_asv","Vitamin_B2_highlow","0.01 0.25"
"88","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,"7888dc681f2841bbc77d1f456dbda3d9","pd_high_asv","Fructose_highlow","0.01 0.25"
"89","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_Alistipes","0bc4e35da130d9cb9fc1090c80011153","shared_all_asv","Fructose_highlow","0.01 0.25"
"90","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Fructose_highlow","0.01 0.25"
"91","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"43c6b4b7d67b71ca2cba59db1b71e4ef","shared_all_asv","Fructose_highlow","0.01 0.25"
"92","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Fructose_highlow","0.01 0.25"
"93","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA,"1941bdf9450a85f4069a80e526137af7","shared_all_asv","Fructose_highlow","0.01 0.25"
"94","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_merdae","76aa915543cd876d620ebeafeb9fd767","pd_low_asv","Fructose_highlow","0.01 0.25"
"95","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"ba3ab915d940bb92e93a3ee773c72f00","pd_high_asv","Fructose_highlow","0.01 0.25"
"96","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"eb1cb381c314ecbbf46265b2e2351ee8","shared_all_asv","Fructose_highlow","0.01 0.25"
"97","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Fructose_highlow","0.01 0.25"
"98","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","c1255b42b2cf2b23d789ce7de0a446a0","shared_all_asv","Fructose_highlow","0.01 0.25"
"99","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","shared_all_asv","Fructose_highlow","0.01 0.25"
"100","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__uncultured_Alistipes","0bc4e35da130d9cb9fc1090c80011153","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"101","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism","d4dcc0bc5f5a6e517ddf472187dbc2e7","pd_high_asv","Coffe_drinker_highlow","0.01 0.25"
"102","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"d71fe67e73a45e78b36ab2586bb5dcc8","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"103","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"43c6b4b7d67b71ca2cba59db1b71e4ef","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"104","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,"96c7cedbae877361d087a8b39206d408","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"105","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA,"c560a89bbad32dad461cf90eda5e1c97","pd_high_asv","Coffe_drinker_highlow","0.01 0.25"
"106","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum",NA,"1941bdf9450a85f4069a80e526137af7","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"107","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"ba3ab915d940bb92e93a3ee773c72f00","pd_high_asv","Coffe_drinker_highlow","0.01 0.25"
"108","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"eb1cb381c314ecbbf46265b2e2351ee8","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"109","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,"4830fa6c03eb9f7fd7a60aa04b40ace5","pd_low_asv","Coffe_drinker_highlow","0.01 0.25"
"110","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_stercoris","77c22963de6714a2d8e7340514fcbcf8","pd_high_asv","Coffe_drinker_highlow","0.01 0.25"
"111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","76d6be90e19a660c9a84b35fa31d801c","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"112","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus","c1255b42b2cf2b23d789ce7de0a446a0","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"113","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352","s__uncultured_bacterium","6be7c1afdd690efab2c28453f0d304da","pd_low_asv","Coffe_drinker_highlow","0.01 0.25"
"114","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Fusicatenibacter",NA,"76214bb13d1e7d69ca2f7827e3ac12e2","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
"115","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA,"4a21bd45b5ff48f40bbcadf6930fc3ee","shared_all_asv","Coffe_drinker_highlow","0.01 0.25"
